Date,Mean GISTEMP,Mean GCAG
1894-10-06,-0.17,-0.2135
1894-11-06,-0.25,-0.2979
1894-12-06,-0.22,-0.2412
1895-01-06,-0.44,-0.4389
1895-02-06,-0.42,-0.4136
1895-03-06,-0.3,-0.2879
1895-04-06,-0.23,-0.1868
1895-05-06,-0.23,-0.2076
1895-06-06,-0.25,-0.2938
1895-07-06,-0.16,-0.201
1895-08-06,-0.16,-0.2243
1895-09-06,-0.02,-0.1329
1895-10-06,-0.11,-0.1317
1895-11-06,-0.15,-0.1602
1895-12-06,-0.12,-0.069
1896-01-06,-0.23,-0.1056
1896-02-06,-0.15,-0.0789
1896-03-06,-0.29,-0.2079
1896-04-06,-0.33,-0.266
1896-05-06,-0.19,-0.1042
1896-06-06,-0.13,-0.0925
1896-07-06,-0.06,-0.0509
1896-08-06,-0.09,-0.0723
1896-09-06,-0.05,-0.0679
1896-10-06,0.04,-0.0056
1896-11-06,-0.16,-0.1659
1896-12-06,-0.12,0.049
1897-01-06,-0.22,-0.1857
1897-02-06,-0.19,-0.1086
1897-03-06,-0.12,-0.1863
1897-04-06,-0.01,-0.0032
1897-05-06,0.0,-0.0256
1897-06-06,-0.12,-0.1
1897-07-06,-0.04,-0.0401
1897-08-06,-0.03,-0.0735
1897-09-06,-0.04,-0.0247
1897-10-06,-0.1,-0.1608
1897-11-06,-0.18,-0.2619
1897-12-06,-0.26,-0.2989
1898-01-06,-0.06,-0.0399
1898-02-06,-0.34,-0.2785
1898-03-06,-0.55,-0.6515
1898-04-06,-0.33,-0.3467
1898-05-06,-0.35,-0.2887
1898-06-06,-0.2,-0.2078
1898-07-06,-0.22,-0.2426
1898-08-06,-0.22,-0.2306
1898-09-06,-0.19,-0.1968
1898-10-06,-0.32,-0.3234
1898-11-06,-0.35,-0.2417
1898-12-06,-0.22,-0.0073
1899-01-06,-0.18,-0.1005
1899-02-06,-0.39,-0.2787
1899-03-06,-0.35,-0.2549
1899-04-06,-0.21,-0.1946
1899-05-06,-0.2,-0.1203
1899-06-06,-0.26,-0.1977
1899-07-06,-0.13,-0.1259
1899-08-06,-0.04,-0.0664
1899-09-06,0.0,-0.0307
1899-10-06,0.0,-0.0241
1899-11-06,0.12,0.1523
1899-12-06,-0.27,-0.1656
1900-01-06,-0.4,-0.2404
1900-02-06,-0.08,-0.0934
1900-03-06,0.02,-0.0402
1900-04-06,-0.14,-0.0985
1900-05-06,-0.06,-0.0371
1900-06-06,-0.15,-0.045
1900-07-06,-0.09,-0.0728
1900-08-06,-0.04,-0.0708
1900-09-06,0.01,-0.06
1900-10-06,0.08,0.0464
1900-11-06,-0.13,-0.1345
1900-12-06,-0.14,0.032
1901-01-06,-0.3,-0.1259
1901-02-06,-0.05,-0.0741
1901-03-06,0.05,-0.0327
1901-04-06,-0.06,-0.0646
1901-05-06,-0.18,-0.1248
1901-06-06,-0.1,-0.1273
1901-07-06,-0.09,-0.1563
1901-08-06,-0.13,-0.1299
1901-09-06,-0.17,-0.2059
1901-10-06,-0.29,-0.2786
1901-11-06,-0.17,-0.1425
1901-12-06,-0.3,-0.2372
1902-01-06,-0.19,-0.0856
1902-02-06,-0.03,-0.0409
1902-03-06,-0.29,-0.1954
1902-04-06,-0.27,-0.2697
1902-05-06,-0.31,-0.2616
1902-06-06,-0.34,-0.3324
1902-07-06,-0.26,-0.2902
1902-08-06,-0.28,-0.2643
1902-09-06,-0.2,-0.2315
1902-10-06,-0.27,-0.2821
1902-11-06,-0.36,-0.34299999999999997
1902-12-06,-0.46,-0.3592
1903-01-06,-0.27,-0.2101
1903-02-06,-0.06,-0.08
1903-03-06,-0.23,-0.2755
1903-04-06,-0.39,-0.354
1903-05-06,-0.41,-0.3912
1903-06-06,-0.44,-0.3759
1903-07-06,-0.3,-0.33399999999999996
1903-08-06,-0.44,-0.4296
1903-09-06,-0.43,-0.3756
1903-10-06,-0.42,-0.4357
1903-11-06,-0.38,-0.395
1903-12-06,-0.47,-0.3861
1904-01-06,-0.64,-0.5416
1904-02-06,-0.55,-0.467
1904-03-06,-0.46,-0.5129
1904-04-06,-0.5,-0.4717
1904-05-06,-0.5,-0.4282
1904-06-06,-0.49,-0.4403
1904-07-06,-0.48,-0.4597
1904-08-06,-0.43,-0.4314
1904-09-06,-0.47,-0.4632
1904-10-06,-0.35,-0.4066
1904-11-06,-0.16,-0.1686
1904-12-06,-0.29,-0.2414
1905-01-06,-0.38,-0.354
1905-02-06,-0.59,-0.6187
1905-03-06,-0.25,-0.39399999999999996
1905-04-06,-0.36,-0.4481
1905-05-06,-0.33,-0.2879
1905-06-06,-0.31,-0.2503
1905-07-06,-0.25,-0.1918
1905-08-06,-0.21,-0.2275
1905-09-06,-0.15,-0.2239
1905-10-06,-0.23,-0.29600000000000004
1905-11-06,-0.08,-0.0916
1905-12-06,-0.21,-0.1334
1906-01-06,-0.31,-0.1755
1906-02-06,-0.34,-0.2379
1906-03-06,-0.15,-0.1484
